pathogen,k,model_type,f1,f1_std,n_pos,n_neg
Ralstonia solanacearum,2,MLP,0.5932,0.014,432,432
Ralstonia solanacearum,3,GaussianNB,0.6545,0.0181,432,432
Ralstonia solanacearum,3,BernoulliNB,0.5362,0.047,432,432
Ralstonia solanacearum,3,SVC_RBF,0.615,0.0205,432,432
Ralstonia solanacearum,3,NuSVC,0.6028,0.0241,432,432
Ralstonia solanacearum,3,LogisticRegression,0.5862,0.0239,432,432
Ralstonia solanacearum,3,KNN,0.5787,0.0131,432,432
Ralstonia solanacearum,3,RandomForest,0.5901,0.0277,432,432
Ralstonia solanacearum,3,MLP,0.5709,0.0297,432,432
Ralstonia solanacearum,4,GaussianNB,0.6609,0.0202,432,432
Ralstonia solanacearum,4,BernoulliNB,0.5619,0.0187,432,432
Ralstonia solanacearum,4,SVC_RBF,0.6266,0.0148,432,432
Ralstonia solanacearum,4,NuSVC,0.6082,0.0176,432,432
Ralstonia solanacearum,4,LogisticRegression,0.581,0.0118,432,432
Ralstonia solanacearum,4,KNN,0.63,0.0301,432,432
Ralstonia solanacearum,4,RandomForest,0.5713,0.0339,432,432
Ralstonia solanacearum,4,MLP,0.5623,0.0297,432,432
Ralstonia solanacearum,5,GaussianNB,0.6463,0.0133,432,432
Ralstonia solanacearum,5,BernoulliNB,0.539,0.0253,432,432
Ralstonia solanacearum,5,SVC_RBF,0.6251,0.0144,432,432
Ralstonia solanacearum,5,NuSVC,0.5957,0.0346,432,432
Ralstonia solanacearum,5,LogisticRegression,0.5795,0.0256,432,432
Ralstonia solanacearum,5,KNN,0.6059,0.0388,432,432
Ralstonia solanacearum,5,RandomForest,0.591,0.0236,432,432
Ralstonia solanacearum,5,MLP,0.5624,0.0382,432,432
Spongospora subterranea,2,GaussianNB,0.6237,0.0568,103,103
Spongospora subterranea,2,BernoulliNB,0.5507,0.073,103,103
Spongospora subterranea,2,SVC_RBF,0.5961,0.0611,103,103
Spongospora subterranea,2,NuSVC,0.5847,0.0258,103,103
Spongospora subterranea,2,LogisticRegression,0.507,0.1092,103,103
Spongospora subterranea,2,KNN,0.5268,0.0574,103,103
Spongospora subterranea,2,RandomForest,0.5167,0.0833,103,103
Spongospora subterranea,2,MLP,0.5185,0.0434,103,103
Spongospora subterranea,3,GaussianNB,0.5369,0.0682,103,103
Spongospora subterranea,3,BernoulliNB,0.4751,0.0623,103,103
Spongospora subterranea,3,SVC_RBF,0.5245,0.0909,103,103
Spongospora subterranea,3,NuSVC,0.5041,0.0935,103,103
Spongospora subterranea,3,LogisticRegression,0.5781,0.0508,103,103
